"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1332","LinkedIn footer link points to Sauce Labs","firefox-auth","Fri May 15 09:12:57 UTC 2026","passed","Fri May 15 09:12:59 UTC 2026","Footer social links","Inventory","",""
"","780","Products sort Z→A by name","chromium-auth","Fri May 15 09:12:44 UTC 2026","passed","Fri May 15 09:12:45 UTC 2026","Sorting","Inventory","",""
"","1708","Sign-in is blocked for an unknown username","webkit-noauth","Fri May 15 09:13:35 UTC 2026","passed","Fri May 15 09:13:36 UTC 2026","Sign in","Authentication","",""
"","3417","Sign-in is blocked when the password is wrong","firefox-noauth","Fri May 15 09:13:03 UTC 2026","passed","Fri May 15 09:13:07 UTC 2026","Sign in","Authentication","",""
"","923","Products sort from most expensive to cheapest","chromium-auth","Fri May 15 09:12:45 UTC 2026","passed","Fri May 15 09:12:46 UTC 2026","Sorting","Inventory","",""
"","1651","Facebook footer link points to Sauce Labs","webkit-auth","Fri May 15 09:13:27 UTC 2026","passed","Fri May 15 09:13:28 UTC 2026","Footer social links","Inventory","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","17104","Checkout from an empty cart is blocked (known bug)","webkit-auth","Fri May 15 09:13:10 UTC 2026","passed","Fri May 15 09:13:27 UTC 2026","Validation","Checkout","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","1979","User can complete a purchase end-to-end","webkit-auth","Fri May 15 09:13:23 UTC 2026","passed","Fri May 15 09:13:25 UTC 2026","Happy path","Checkout","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","8491","Checkout from an empty cart is blocked (known bug)","firefox-auth","Fri May 15 09:12:50 UTC 2026","passed","Fri May 15 09:12:58 UTC 2026","Validation","Checkout","",""
"","608","Twitter footer link points to Sauce Labs","chromium-auth","Fri May 15 09:12:42 UTC 2026","passed","Fri May 15 09:12:42 UTC 2026","Footer social links","Inventory","",""
"","1877","Products sort A→Z by name","webkit-auth","Fri May 15 09:13:28 UTC 2026","passed","Fri May 15 09:13:30 UTC 2026","Sorting","Inventory","",""
"A shopper expects items they added to remain in the cart after returning to the store.","14577","Cart contents are preserved after sign-out and sign-in","webkit-auth","Fri May 15 09:13:08 UTC 2026","passed","Fri May 15 09:13:23 UTC 2026","Persistence","Cart","",""
"","2709","User can sign out and return to the sign-in screen","webkit-noauth","Fri May 15 09:13:35 UTC 2026","passed","Fri May 15 09:13:38 UTC 2026","Sign out","Authentication","",""
"","1535","Products sort from cheapest to most expensive","firefox-auth","Fri May 15 09:13:00 UTC 2026","passed","Fri May 15 09:13:02 UTC 2026","Sorting","Inventory","",""
"Verifies the happy-path sign-in for a standard user.","3542","User can sign in with valid credentials","firefox-noauth","Fri May 15 09:13:03 UTC 2026","passed","Fri May 15 09:13:06 UTC 2026","Sign in","Authentication","",""
"","2011","Products sort Z→A by name","firefox-auth","Fri May 15 09:12:59 UTC 2026","passed","Fri May 15 09:13:01 UTC 2026","Sorting","Inventory","",""
"","605","LinkedIn footer link points to Sauce Labs","chromium-auth","Fri May 15 09:12:43 UTC 2026","passed","Fri May 15 09:12:43 UTC 2026","Footer social links","Inventory","",""
"A shopper expects items they added to remain in the cart after returning to the store.","2172","Cart contents are preserved after sign-out and sign-in","chromium-auth","Fri May 15 09:12:39 UTC 2026","passed","Fri May 15 09:12:41 UTC 2026","Persistence","Cart","",""
"","597","Facebook footer link points to Sauce Labs","chromium-auth","Fri May 15 09:12:42 UTC 2026","passed","Fri May 15 09:12:43 UTC 2026","Footer social links","Inventory","",""
"","1400","Products sort from most expensive to cheapest","firefox-auth","Fri May 15 09:13:01 UTC 2026","passed","Fri May 15 09:13:02 UTC 2026","Sorting","Inventory","",""
"","1597","Products sort A→Z by name","firefox-auth","Fri May 15 09:12:58 UTC 2026","passed","Fri May 15 09:13:00 UTC 2026","Sorting","Inventory","",""
"","1763","User can sign out and return to the sign-in screen","chromium-noauth","Fri May 15 09:12:48 UTC 2026","passed","Fri May 15 09:12:49 UTC 2026","Sign out","Authentication","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","951","User can complete a purchase end-to-end","chromium-auth","Fri May 15 09:12:41 UTC 2026","passed","Fri May 15 09:12:42 UTC 2026","Happy path","Checkout","",""
"","1523","Twitter footer link points to Sauce Labs","webkit-auth","Fri May 15 09:13:25 UTC 2026","passed","Fri May 15 09:13:27 UTC 2026","Footer social links","Inventory","",""
"Verifies the happy-path sign-in for a standard user.","1981","User can sign in with valid credentials","webkit-noauth","Fri May 15 09:13:33 UTC 2026","passed","Fri May 15 09:13:35 UTC 2026","Sign in","Authentication","",""
"","1825","Products sort Z→A by name","webkit-auth","Fri May 15 09:13:29 UTC 2026","passed","Fri May 15 09:13:31 UTC 2026","Sorting","Inventory","",""
"","988","Sign-in is blocked when the password is wrong","chromium-noauth","Fri May 15 09:12:47 UTC 2026","passed","Fri May 15 09:12:48 UTC 2026","Sign in","Authentication","",""
"","629","Products sort A→Z by name","chromium-auth","Fri May 15 09:12:43 UTC 2026","passed","Fri May 15 09:12:44 UTC 2026","Sorting","Inventory","",""
"","1021","Sign-in is blocked for an unknown username","firefox-noauth","Fri May 15 09:13:06 UTC 2026","passed","Fri May 15 09:13:07 UTC 2026","Sign in","Authentication","",""
