"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1064","Facebook footer link points to Sauce Labs","firefox-auth","2026-05-29","passed","2026-05-29","Footer social links","Inventory","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","6534","Checkout from an empty cart is blocked (known bug)","chromium-auth","2026-05-29","passed","2026-05-29","Validation","Checkout","",""
"","1593","Products sort A→Z by name","firefox-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","10724","Checkout from an empty cart is blocked (known bug)","webkit-auth","2026-05-29","passed","2026-05-29","Validation","Checkout","",""
"","740","LinkedIn footer link points to Sauce Labs","chromium-auth","2026-05-29","passed","2026-05-29","Footer social links","Inventory","",""
"Verifies the happy-path sign-in for a standard user.","3041","User can sign in with valid credentials","firefox-noauth","2026-05-29","passed","2026-05-29","Sign in","Authentication","",""
"A shopper expects items they added to remain in the cart after returning to the store.","2172","Cart contents are preserved after sign-out and sign-in","chromium-auth","2026-05-29","passed","2026-05-29","Persistence","Cart","",""
"","1497","Products sort Z→A by name","firefox-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"","2002","User can sign out and return to the sign-in screen","chromium-noauth","2026-05-29","passed","2026-05-29","Sign out","Authentication","",""
"","2049","LinkedIn footer link points to Sauce Labs","webkit-auth","2026-05-29","passed","2026-05-29","Footer social links","Inventory","",""
"","1230","LinkedIn footer link points to Sauce Labs","firefox-auth","2026-05-29","passed","2026-05-29","Footer social links","Inventory","",""
"","1844","Sign-in is blocked when the password is wrong","webkit-noauth","2026-05-29","passed","2026-05-29","Sign in","Authentication","",""
"","1210","Sign-in is blocked when the password is wrong","chromium-noauth","2026-05-29","passed","2026-05-29","Sign in","Authentication","",""
"","742","Twitter footer link points to Sauce Labs","chromium-auth","2026-05-29","passed","2026-05-29","Footer social links","Inventory","",""
"","989","Products sort from cheapest to most expensive","chromium-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"","1961","Products sort Z→A by name","webkit-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"","1469","Products sort from most expensive to cheapest","firefox-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"","2143","User can sign out and return to the sign-in screen","firefox-noauth","2026-05-29","passed","2026-05-29","Sign out","Authentication","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","2035","User can complete a purchase end-to-end","webkit-auth","2026-05-29","passed","2026-05-29","Happy path","Checkout","",""
"","923","Products sort from most expensive to cheapest","chromium-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"","1916","Products sort from most expensive to cheapest","webkit-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"","947","Products sort Z→A by name","chromium-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"","2723","User can sign out and return to the sign-in screen","webkit-noauth","2026-05-29","passed","2026-05-29","Sign out","Authentication","",""
"","1752","Facebook footer link points to Sauce Labs","webkit-auth","2026-05-29","passed","2026-05-29","Footer social links","Inventory","",""
"","955","Sign-in is blocked for an unknown username","chromium-noauth","2026-05-29","passed","2026-05-29","Sign in","Authentication","",""
"","1118","Sign-in is blocked for an unknown username","firefox-noauth","2026-05-29","passed","2026-05-29","Sign in","Authentication","",""
"","1545","Sign-in is blocked for an unknown username","webkit-noauth","2026-05-29","passed","2026-05-29","Sign in","Authentication","",""
"","1924","Products sort A→Z by name","webkit-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"","745","Facebook footer link points to Sauce Labs","chromium-auth","2026-05-29","passed","2026-05-29","Footer social links","Inventory","",""
"","1670","Twitter footer link points to Sauce Labs","webkit-auth","2026-05-29","passed","2026-05-29","Footer social links","Inventory","",""
"Verifies the happy-path sign-in for a standard user.","1248","User can sign in with valid credentials","chromium-noauth","2026-05-29","passed","2026-05-29","Sign in","Authentication","",""
"Verifies the happy-path sign-in for a standard user.","1971","User can sign in with valid credentials","webkit-noauth","2026-05-29","passed","2026-05-29","Sign in","Authentication","",""
"A shopper expects items they added to remain in the cart after returning to the store.","7991","Cart contents are preserved after sign-out and sign-in","webkit-auth","2026-05-29","passed","2026-05-29","Persistence","Cart","",""
"","1944","Products sort from cheapest to most expensive","webkit-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","1861","User can complete a purchase end-to-end","firefox-auth","2026-05-29","passed","2026-05-29","Happy path","Checkout","",""
"","1523","Products sort from cheapest to most expensive","firefox-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","1051","User can complete a purchase end-to-end","chromium-auth","2026-05-29","passed","2026-05-29","Happy path","Checkout","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","8144","Checkout from an empty cart is blocked (known bug)","firefox-auth","2026-05-29","passed","2026-05-29","Validation","Checkout","",""
"","3026","Sign-in is blocked when the password is wrong","firefox-noauth","2026-05-29","passed","2026-05-29","Sign in","Authentication","",""
"","1041","Twitter footer link points to Sauce Labs","firefox-auth","2026-05-29","passed","2026-05-29","Footer social links","Inventory","",""
"","868","Products sort A→Z by name","chromium-auth","2026-05-29","passed","2026-05-29","Sorting","Inventory","",""
"A shopper expects items they added to remain in the cart after returning to the store.","4067","Cart contents are preserved after sign-out and sign-in","firefox-auth","2026-05-29","passed","2026-05-29","Persistence","Cart","",""
