"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","E-Commerce Storefront","0","Inventory","12","0","Sort products","0"
"0","E-Commerce Storefront","0","Authentication","18","0","Sign in","0"
"0","E-Commerce Storefront","0","Inventory","9","0","Footer social links","0"
"0","E-Commerce Storefront","0","Cart","6","0","Cart persistence","0"
"0","E-Commerce Storefront","0","Authentication","6","0","Sign out","0"
"0","E-Commerce Storefront","0","Checkout","6","0","Complete purchase","0"
"0","E-Commerce Storefront","0","Checkout","6","0","Empty-cart checkout guard","0"
