"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1530","Products sort Z→A by name","firefox-auth","Fri May 15 09:10:59 UTC 2026","passed","Fri May 15 09:11:01 UTC 2026","Sorting","Inventory","",""
"Verifies the happy-path sign-in for a standard user.","2952","User can sign in with valid credentials","firefox-noauth","Fri May 15 09:11:03 UTC 2026","passed","Fri May 15 09:11:06 UTC 2026","Sign in","Authentication","",""
"","1887","Products sort A→Z by name","webkit-auth","Fri May 15 09:11:21 UTC 2026","passed","Fri May 15 09:11:23 UTC 2026","Sorting","Inventory","",""
"","1100","LinkedIn footer link points to Sauce Labs","firefox-auth","Fri May 15 09:10:58 UTC 2026","passed","Fri May 15 09:10:59 UTC 2026","Footer social links","Inventory","",""
"","1819","Products sort from most expensive to cheapest","webkit-auth","Fri May 15 09:11:24 UTC 2026","passed","Fri May 15 09:11:26 UTC 2026","Sorting","Inventory","",""
"A shopper expects items they added to remain in the cart after returning to the store.","2087","Cart contents are preserved after sign-out and sign-in","chromium-auth","Fri May 15 09:10:40 UTC 2026","passed","Fri May 15 09:10:42 UTC 2026","Persistence","Cart","",""
"","1141","Sign-in is blocked for an unknown username","firefox-noauth","Fri May 15 09:11:06 UTC 2026","passed","Fri May 15 09:11:08 UTC 2026","Sign in","Authentication","",""
"","1605","Facebook footer link points to Sauce Labs","webkit-auth","Fri May 15 09:11:20 UTC 2026","passed","Fri May 15 09:11:21 UTC 2026","Footer social links","Inventory","",""
"","1833","Products sort from cheapest to most expensive","webkit-auth","Fri May 15 09:11:23 UTC 2026","passed","Fri May 15 09:11:25 UTC 2026","Sorting","Inventory","",""
"","590","Facebook footer link points to Sauce Labs","chromium-auth","Fri May 15 09:10:43 UTC 2026","passed","Fri May 15 09:10:44 UTC 2026","Footer social links","Inventory","",""
"","717","Products sort Z→A by name","chromium-auth","Fri May 15 09:10:45 UTC 2026","passed","Fri May 15 09:10:46 UTC 2026","Sorting","Inventory","",""
"A shopper expects items they added to remain in the cart after returning to the store.","3896","Cart contents are preserved after sign-out and sign-in","firefox-auth","Fri May 15 09:10:50 UTC 2026","passed","Fri May 15 09:10:54 UTC 2026","Persistence","Cart","",""
"","631","Products sort A→Z by name","chromium-auth","Fri May 15 09:10:44 UTC 2026","passed","Fri May 15 09:10:45 UTC 2026","Sorting","Inventory","",""
"","1522","Products sort from most expensive to cheapest","firefox-auth","Fri May 15 09:11:01 UTC 2026","passed","Fri May 15 09:11:02 UTC 2026","Sorting","Inventory","",""
"","3374","Sign-in is blocked when the password is wrong","firefox-noauth","Fri May 15 09:11:03 UTC 2026","passed","Fri May 15 09:11:07 UTC 2026","Sign in","Authentication","",""
"","867","Products sort from cheapest to most expensive","chromium-auth","Fri May 15 09:10:46 UTC 2026","passed","Fri May 15 09:10:47 UTC 2026","Sorting","Inventory","",""
"Verifies the happy-path sign-in for a standard user.","1113","User can sign in with valid credentials","chromium-noauth","Fri May 15 09:10:47 UTC 2026","passed","Fri May 15 09:10:48 UTC 2026","Sign in","Authentication","",""
"","778","Sign-in is blocked for an unknown username","chromium-noauth","Fri May 15 09:10:48 UTC 2026","passed","Fri May 15 09:10:49 UTC 2026","Sign in","Authentication","",""
"","1755","User can sign out and return to the sign-in screen","chromium-noauth","Fri May 15 09:10:49 UTC 2026","passed","Fri May 15 09:10:50 UTC 2026","Sign out","Authentication","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","2007","User can complete a purchase end-to-end","webkit-auth","Fri May 15 09:11:16 UTC 2026","passed","Fri May 15 09:11:18 UTC 2026","Happy path","Checkout","",""
"A shopper expects items they added to remain in the cart after returning to the store.","7397","Cart contents are preserved after sign-out and sign-in","webkit-auth","Fri May 15 09:11:09 UTC 2026","passed","Fri May 15 09:11:16 UTC 2026","Persistence","Cart","",""
"","1109","Twitter footer link points to Sauce Labs","firefox-auth","Fri May 15 09:10:56 UTC 2026","passed","Fri May 15 09:10:57 UTC 2026","Footer social links","Inventory","",""
"","535","LinkedIn footer link points to Sauce Labs","chromium-auth","Fri May 15 09:10:44 UTC 2026","passed","Fri May 15 09:10:44 UTC 2026","Footer social links","Inventory","",""
"","2148","User can sign out and return to the sign-in screen","firefox-noauth","Fri May 15 09:11:07 UTC 2026","passed","Fri May 15 09:11:09 UTC 2026","Sign out","Authentication","",""
"Verifies the happy-path sign-in for a standard user.","1835","User can sign in with valid credentials","webkit-noauth","Fri May 15 09:11:26 UTC 2026","passed","Fri May 15 09:11:28 UTC 2026","Sign in","Authentication","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","1817","User can complete a purchase end-to-end","firefox-auth","Fri May 15 09:10:54 UTC 2026","passed","Fri May 15 09:10:56 UTC 2026","Happy path","Checkout","",""
"","527","Twitter footer link points to Sauce Labs","chromium-auth","Fri May 15 09:10:43 UTC 2026","passed","Fri May 15 09:10:43 UTC 2026","Footer social links","Inventory","",""
"","1015","Sign-in is blocked when the password is wrong","chromium-noauth","Fri May 15 09:10:48 UTC 2026","passed","Fri May 15 09:10:49 UTC 2026","Sign in","Authentication","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","6316","Checkout from an empty cart is blocked (known bug)","chromium-auth","Fri May 15 09:10:40 UTC 2026","passed","Fri May 15 09:10:46 UTC 2026","Validation","Checkout","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","932","User can complete a purchase end-to-end","chromium-auth","Fri May 15 09:10:42 UTC 2026","passed","Fri May 15 09:10:43 UTC 2026","Happy path","Checkout","",""
"","1685","Products sort from cheapest to most expensive","firefox-auth","Fri May 15 09:11:01 UTC 2026","passed","Fri May 15 09:11:02 UTC 2026","Sorting","Inventory","",""
"","1838","LinkedIn footer link points to Sauce Labs","webkit-auth","Fri May 15 09:11:20 UTC 2026","passed","Fri May 15 09:11:22 UTC 2026","Footer social links","Inventory","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","10099","Checkout from an empty cart is blocked (known bug)","webkit-auth","Fri May 15 09:11:10 UTC 2026","passed","Fri May 15 09:11:20 UTC 2026","Validation","Checkout","",""
"","1847","Sign-in is blocked when the password is wrong","webkit-noauth","Fri May 15 09:11:26 UTC 2026","passed","Fri May 15 09:11:28 UTC 2026","Sign in","Authentication","",""
"","866","Products sort from most expensive to cheapest","chromium-auth","Fri May 15 09:10:46 UTC 2026","passed","Fri May 15 09:10:47 UTC 2026","Sorting","Inventory","",""
"","1490","Twitter footer link points to Sauce Labs","webkit-auth","Fri May 15 09:11:18 UTC 2026","passed","Fri May 15 09:11:20 UTC 2026","Footer social links","Inventory","",""
"","996","Facebook footer link points to Sauce Labs","firefox-auth","Fri May 15 09:10:57 UTC 2026","passed","Fri May 15 09:10:58 UTC 2026","Footer social links","Inventory","",""
"","1822","Products sort A→Z by name","firefox-auth","Fri May 15 09:10:59 UTC 2026","passed","Fri May 15 09:11:01 UTC 2026","Sorting","Inventory","",""
"","2575","User can sign out and return to the sign-in screen","webkit-noauth","Fri May 15 09:11:28 UTC 2026","passed","Fri May 15 09:11:31 UTC 2026","Sign out","Authentication","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","8284","Checkout from an empty cart is blocked (known bug)","firefox-auth","Fri May 15 09:10:51 UTC 2026","passed","Fri May 15 09:10:59 UTC 2026","Validation","Checkout","",""
"","1506","Sign-in is blocked for an unknown username","webkit-noauth","Fri May 15 09:11:28 UTC 2026","passed","Fri May 15 09:11:29 UTC 2026","Sign in","Authentication","",""
"","1796","Products sort Z→A by name","webkit-auth","Fri May 15 09:11:22 UTC 2026","passed","Fri May 15 09:11:24 UTC 2026","Sorting","Inventory","",""
