"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1967","Products sort from most expensive to cheapest","webkit-auth","Thu May 21 10:26:29 UTC 2026","passed","Thu May 21 10:26:31 UTC 2026","Sorting","Inventory","",""
"","1053","Facebook footer link points to Sauce Labs","firefox-auth","Thu May 21 10:26:02 UTC 2026","passed","Thu May 21 10:26:03 UTC 2026","Footer social links","Inventory","",""
"","1762","Facebook footer link points to Sauce Labs","webkit-auth","Thu May 21 10:26:25 UTC 2026","passed","Thu May 21 10:26:27 UTC 2026","Footer social links","Inventory","",""
"Verifies the happy-path sign-in for a standard user.","1859","User can sign in with valid credentials","webkit-noauth","Thu May 21 10:26:32 UTC 2026","passed","Thu May 21 10:26:33 UTC 2026","Sign in","Authentication","",""
"","1950","Products sort Z→A by name","webkit-auth","Thu May 21 10:26:27 UTC 2026","passed","Thu May 21 10:26:29 UTC 2026","Sorting","Inventory","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","1960","User can complete a purchase end-to-end","webkit-auth","Thu May 21 10:26:22 UTC 2026","passed","Thu May 21 10:26:24 UTC 2026","Happy path","Checkout","",""
"A shopper expects items they added to remain in the cart after returning to the store.","8543","Cart contents are preserved after sign-out and sign-in","webkit-auth","Thu May 21 10:26:13 UTC 2026","passed","Thu May 21 10:26:22 UTC 2026","Persistence","Cart","",""
"","724","LinkedIn footer link points to Sauce Labs","chromium-auth","Thu May 21 10:25:49 UTC 2026","passed","Thu May 21 10:25:50 UTC 2026","Footer social links","Inventory","",""
"","2963","Sign-in is blocked when the password is wrong","firefox-noauth","Thu May 21 10:26:09 UTC 2026","passed","Thu May 21 10:26:11 UTC 2026","Sign in","Authentication","",""
"","906","Sign-in is blocked for an unknown username","chromium-noauth","Thu May 21 10:25:53 UTC 2026","passed","Thu May 21 10:25:54 UTC 2026","Sign in","Authentication","",""
"","1460","Products sort Z→A by name","firefox-auth","Thu May 21 10:26:05 UTC 2026","passed","Thu May 21 10:26:06 UTC 2026","Sorting","Inventory","",""
"","968","Products sort from cheapest to most expensive","chromium-auth","Thu May 21 10:25:51 UTC 2026","passed","Thu May 21 10:25:52 UTC 2026","Sorting","Inventory","",""
"A shopper expects items they added to remain in the cart after returning to the store.","4719","Cart contents are preserved after sign-out and sign-in","firefox-auth","Thu May 21 10:25:55 UTC 2026","passed","Thu May 21 10:26:00 UTC 2026","Persistence","Cart","",""
"","1020","Sign-in is blocked when the password is wrong","chromium-noauth","Thu May 21 10:25:53 UTC 2026","passed","Thu May 21 10:25:54 UTC 2026","Sign in","Authentication","",""
"","1560","Sign-in is blocked for an unknown username","webkit-noauth","Thu May 21 10:26:33 UTC 2026","passed","Thu May 21 10:26:35 UTC 2026","Sign in","Authentication","",""
