"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1985","User can sign out and return to the sign-in screen","firefox-noauth","Thu May 21 10:26:11 UTC 2026","passed","Thu May 21 10:26:13 UTC 2026","Sign out","Authentication","",""
"","1542","Twitter footer link points to Sauce Labs","webkit-auth","Thu May 21 10:26:24 UTC 2026","passed","Thu May 21 10:26:25 UTC 2026","Footer social links","Inventory","",""
"Verifies the happy-path sign-in for a standard user.","1074","User can sign in with valid credentials","chromium-noauth","Thu May 21 10:25:52 UTC 2026","passed","Thu May 21 10:25:53 UTC 2026","Sign in","Authentication","",""
"","866","Products sort Z→A by name","chromium-auth","Thu May 21 10:25:51 UTC 2026","passed","Thu May 21 10:25:51 UTC 2026","Sorting","Inventory","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","7884","Checkout from an empty cart is blocked (known bug)","firefox-auth","Thu May 21 10:25:57 UTC 2026","passed","Thu May 21 10:26:05 UTC 2026","Validation","Checkout","",""
"","832","Products sort from most expensive to cheapest","chromium-auth","Thu May 21 10:25:51 UTC 2026","passed","Thu May 21 10:25:52 UTC 2026","Sorting","Inventory","",""
"","2068","Products sort from cheapest to most expensive","webkit-auth","Thu May 21 10:26:29 UTC 2026","passed","Thu May 21 10:26:31 UTC 2026","Sorting","Inventory","",""
"","1839","Sign-in is blocked when the password is wrong","webkit-noauth","Thu May 21 10:26:32 UTC 2026","passed","Thu May 21 10:26:34 UTC 2026","Sign in","Authentication","",""
"","1945","User can sign out and return to the sign-in screen","chromium-noauth","Thu May 21 10:25:54 UTC 2026","passed","Thu May 21 10:25:56 UTC 2026","Sign out","Authentication","",""
"","1388","Products sort from most expensive to cheapest","firefox-auth","Thu May 21 10:26:06 UTC 2026","passed","Thu May 21 10:26:08 UTC 2026","Sorting","Inventory","",""
"","744","Twitter footer link points to Sauce Labs","chromium-auth","Thu May 21 10:25:48 UTC 2026","passed","Thu May 21 10:25:48 UTC 2026","Footer social links","Inventory","",""
"","867","Products sort A→Z by name","chromium-auth","Thu May 21 10:25:50 UTC 2026","passed","Thu May 21 10:25:51 UTC 2026","Sorting","Inventory","",""
"","1412","Products sort from cheapest to most expensive","firefox-auth","Thu May 21 10:26:06 UTC 2026","passed","Thu May 21 10:26:07 UTC 2026","Sorting","Inventory","",""
"A shopper expects items they added to remain in the cart after returning to the store.","2113","Cart contents are preserved after sign-out and sign-in","chromium-auth","Thu May 21 10:25:44 UTC 2026","passed","Thu May 21 10:25:46 UTC 2026","Persistence","Cart","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","1560","User can complete a purchase end-to-end","firefox-auth","Thu May 21 10:26:00 UTC 2026","passed","Thu May 21 10:26:01 UTC 2026","Happy path","Checkout","",""
"","1006","Twitter footer link points to Sauce Labs","firefox-auth","Thu May 21 10:26:01 UTC 2026","passed","Thu May 21 10:26:02 UTC 2026","Footer social links","Inventory","",""
"Verifies the happy-path sign-in for a standard user.","2647","User can sign in with valid credentials","firefox-noauth","Thu May 21 10:26:08 UTC 2026","passed","Thu May 21 10:26:11 UTC 2026","Sign in","Authentication","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","1040","User can complete a purchase end-to-end","chromium-auth","Thu May 21 10:25:46 UTC 2026","passed","Thu May 21 10:25:48 UTC 2026","Happy path","Checkout","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","6393","Checkout from an empty cart is blocked (known bug)","chromium-auth","Thu May 21 10:25:44 UTC 2026","passed","Thu May 21 10:25:51 UTC 2026","Validation","Checkout","",""
"","2629","User can sign out and return to the sign-in screen","webkit-noauth","Thu May 21 10:26:34 UTC 2026","passed","Thu May 21 10:26:36 UTC 2026","Sign out","Authentication","",""
"","1455","Products sort A→Z by name","firefox-auth","Thu May 21 10:26:05 UTC 2026","passed","Thu May 21 10:26:06 UTC 2026","Sorting","Inventory","",""
"","1231","LinkedIn footer link points to Sauce Labs","firefox-auth","Thu May 21 10:26:03 UTC 2026","passed","Thu May 21 10:26:05 UTC 2026","Footer social links","Inventory","",""
"","1076","Sign-in is blocked for an unknown username","firefox-noauth","Thu May 21 10:26:11 UTC 2026","passed","Thu May 21 10:26:12 UTC 2026","Sign in","Authentication","",""
"","1979","Products sort A→Z by name","webkit-auth","Thu May 21 10:26:27 UTC 2026","passed","Thu May 21 10:26:29 UTC 2026","Sorting","Inventory","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","11172","Checkout from an empty cart is blocked (known bug)","webkit-auth","Thu May 21 10:26:14 UTC 2026","passed","Thu May 21 10:26:25 UTC 2026","Validation","Checkout","",""
"","725","Facebook footer link points to Sauce Labs","chromium-auth","Thu May 21 10:25:48 UTC 2026","passed","Thu May 21 10:25:49 UTC 2026","Footer social links","Inventory","",""
"","1852","LinkedIn footer link points to Sauce Labs","webkit-auth","Thu May 21 10:26:25 UTC 2026","passed","Thu May 21 10:26:27 UTC 2026","Footer social links","Inventory","",""
