"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","766","Sign-in is blocked for an unknown username","chromium-noauth","Fri May 15 08:57:09 UTC 2026","passed","Fri May 15 08:57:10 UTC 2026","Sign in","Authentication","",""
"","1862","Sign-in is blocked when the password is wrong","webkit-noauth","Fri May 15 08:57:53 UTC 2026","passed","Fri May 15 08:57:55 UTC 2026","Sign in","Authentication","",""
"","1901","LinkedIn footer link points to Sauce Labs","webkit-auth","Fri May 15 08:57:47 UTC 2026","passed","Fri May 15 08:57:48 UTC 2026","Footer social links","Inventory","",""
"","2063","User can sign out and return to the sign-in screen","firefox-noauth","Fri May 15 08:57:28 UTC 2026","passed","Fri May 15 08:57:30 UTC 2026","Sign out","Authentication","",""
"","4085","Sign-in is blocked when the password is wrong","firefox-noauth","Fri May 15 08:57:24 UTC 2026","passed","Fri May 15 08:57:28 UTC 2026","Sign in","Authentication","",""
"","564","Facebook footer link points to Sauce Labs","chromium-auth","Fri May 15 08:57:04 UTC 2026","passed","Fri May 15 08:57:04 UTC 2026","Footer social links","Inventory","",""
"","1581","Sign-in is blocked for an unknown username","webkit-noauth","Fri May 15 08:57:55 UTC 2026","passed","Fri May 15 08:57:56 UTC 2026","Sign in","Authentication","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","15319","Checkout from an empty cart is blocked (known bug)","webkit-auth","Fri May 15 08:57:31 UTC 2026","passed","Fri May 15 08:57:47 UTC 2026","Validation","Checkout","",""
"","736","Products sort Z→A by name","chromium-auth","Fri May 15 08:57:06 UTC 2026","passed","Fri May 15 08:57:06 UTC 2026","Sorting","Inventory","",""
"","1901","Products sort from cheapest to most expensive","webkit-auth","Fri May 15 08:57:50 UTC 2026","passed","Fri May 15 08:57:52 UTC 2026","Sorting","Inventory","",""
"","1079","Sign-in is blocked when the password is wrong","chromium-noauth","Fri May 15 08:57:08 UTC 2026","passed","Fri May 15 08:57:09 UTC 2026","Sign in","Authentication","",""
"","1776","User can sign out and return to the sign-in screen","chromium-noauth","Fri May 15 08:57:09 UTC 2026","passed","Fri May 15 08:57:11 UTC 2026","Sign out","Authentication","",""
"","1580","Twitter footer link points to Sauce Labs","webkit-auth","Fri May 15 08:57:45 UTC 2026","passed","Fri May 15 08:57:46 UTC 2026","Footer social links","Inventory","",""
"","845","Products sort from cheapest to most expensive","chromium-auth","Fri May 15 08:57:06 UTC 2026","passed","Fri May 15 08:57:07 UTC 2026","Sorting","Inventory","",""
"","535","Twitter footer link points to Sauce Labs","chromium-auth","Fri May 15 08:57:03 UTC 2026","passed","Fri May 15 08:57:04 UTC 2026","Footer social links","Inventory","",""
