"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies the happy-path sign-in for a standard user.","1947","User can sign in with valid credentials","webkit-noauth","Fri May 15 08:57:53 UTC 2026","passed","Fri May 15 08:57:55 UTC 2026","Sign in","Authentication","",""
"Verifies the happy-path sign-in for a standard user.","1059","User can sign in with valid credentials","chromium-noauth","Fri May 15 08:57:08 UTC 2026","passed","Fri May 15 08:57:09 UTC 2026","Sign in","Authentication","",""
"","1468","Products sort from cheapest to most expensive","firefox-auth","Fri May 15 08:57:21 UTC 2026","passed","Fri May 15 08:57:23 UTC 2026","Sorting","Inventory","",""
"","1479","Products sort from most expensive to cheapest","firefox-auth","Fri May 15 08:57:22 UTC 2026","passed","Fri May 15 08:57:23 UTC 2026","Sorting","Inventory","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","6482","Checkout from an empty cart is blocked (known bug)","chromium-auth","Fri May 15 08:57:00 UTC 2026","passed","Fri May 15 08:57:06 UTC 2026","Validation","Checkout","",""
"A shopper expects items they added to remain in the cart after returning to the store.","2264","Cart contents are preserved after sign-out and sign-in","chromium-auth","Fri May 15 08:57:00 UTC 2026","passed","Fri May 15 08:57:02 UTC 2026","Persistence","Cart","",""
"Expected: stay on the cart page with a 'cart is empty' error. Actual: navigation to /checkout-step-one.html succeeds silently. Tracked as a known application bug — kept failing intentionally to flag regressions when the app is fixed.","8415","Checkout from an empty cart is blocked (known bug)","firefox-auth","Fri May 15 08:57:12 UTC 2026","passed","Fri May 15 08:57:20 UTC 2026","Validation","Checkout","",""
"","622","Products sort A→Z by name","chromium-auth","Fri May 15 08:57:05 UTC 2026","passed","Fri May 15 08:57:06 UTC 2026","Sorting","Inventory","",""
"","1576","Products sort A→Z by name","firefox-auth","Fri May 15 08:57:20 UTC 2026","passed","Fri May 15 08:57:21 UTC 2026","Sorting","Inventory","",""
"","2727","User can sign out and return to the sign-in screen","webkit-noauth","Fri May 15 08:57:55 UTC 2026","passed","Fri May 15 08:57:58 UTC 2026","Sign out","Authentication","",""
"A shopper expects items they added to remain in the cart after returning to the store.","4442","Cart contents are preserved after sign-out and sign-in","firefox-auth","Fri May 15 08:57:10 UTC 2026","passed","Fri May 15 08:57:15 UTC 2026","Persistence","Cart","",""
"Verifies the happy-path sign-in for a standard user.","3447","User can sign in with valid credentials","firefox-noauth","Fri May 15 08:57:24 UTC 2026","passed","Fri May 15 08:57:27 UTC 2026","Sign in","Authentication","",""
"","1106","Sign-in is blocked for an unknown username","firefox-noauth","Fri May 15 08:57:27 UTC 2026","passed","Fri May 15 08:57:29 UTC 2026","Sign in","Authentication","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","2065","User can complete a purchase end-to-end","webkit-auth","Fri May 15 08:57:43 UTC 2026","passed","Fri May 15 08:57:45 UTC 2026","Happy path","Checkout","",""
"","585","LinkedIn footer link points to Sauce Labs","chromium-auth","Fri May 15 08:57:04 UTC 2026","passed","Fri May 15 08:57:05 UTC 2026","Footer social links","Inventory","",""
"","1042","Twitter footer link points to Sauce Labs","firefox-auth","Fri May 15 08:57:17 UTC 2026","passed","Fri May 15 08:57:18 UTC 2026","Footer social links","Inventory","",""
"","886","Products sort from most expensive to cheapest","chromium-auth","Fri May 15 08:57:06 UTC 2026","passed","Fri May 15 08:57:07 UTC 2026","Sorting","Inventory","",""
"","1992","Products sort from most expensive to cheapest","webkit-auth","Fri May 15 08:57:50 UTC 2026","passed","Fri May 15 08:57:52 UTC 2026","Sorting","Inventory","",""
"","1530","Products sort Z→A by name","firefox-auth","Fri May 15 08:57:20 UTC 2026","passed","Fri May 15 08:57:22 UTC 2026","Sorting","Inventory","",""
"A shopper expects items they added to remain in the cart after returning to the store.","12897","Cart contents are preserved after sign-out and sign-in","webkit-auth","Fri May 15 08:57:30 UTC 2026","passed","Fri May 15 08:57:43 UTC 2026","Persistence","Cart","",""
"","1951","Products sort A→Z by name","webkit-auth","Fri May 15 08:57:48 UTC 2026","passed","Fri May 15 08:57:50 UTC 2026","Sorting","Inventory","",""
"","1049","Facebook footer link points to Sauce Labs","firefox-auth","Fri May 15 08:57:18 UTC 2026","passed","Fri May 15 08:57:19 UTC 2026","Footer social links","Inventory","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","1673","User can complete a purchase end-to-end","firefox-auth","Fri May 15 08:57:15 UTC 2026","passed","Fri May 15 08:57:17 UTC 2026","Happy path","Checkout","",""
"","1887","Products sort Z→A by name","webkit-auth","Fri May 15 08:57:48 UTC 2026","passed","Fri May 15 08:57:50 UTC 2026","Sorting","Inventory","",""
"","1740","Facebook footer link points to Sauce Labs","webkit-auth","Fri May 15 08:57:46 UTC 2026","passed","Fri May 15 08:57:48 UTC 2026","Footer social links","Inventory","",""
"Full revenue path: browse → add to cart → checkout → confirmation → return to catalogue.","1025","User can complete a purchase end-to-end","chromium-auth","Fri May 15 08:57:02 UTC 2026","passed","Fri May 15 08:57:03 UTC 2026","Happy path","Checkout","",""
"","1260","LinkedIn footer link points to Sauce Labs","firefox-auth","Fri May 15 08:57:19 UTC 2026","passed","Fri May 15 08:57:20 UTC 2026","Footer social links","Inventory","",""
