"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2223","Test Logout","Chromium","Fri May 15 07:05:54 UTC 2026","passed","Fri May 15 07:05:57 UTC 2026","","testCaseId4.spec.js","",""
"","2633","Test login with invalid password","Firefox","Fri May 15 07:06:09 UTC 2026","passed","Fri May 15 07:06:11 UTC 2026","","testCaseId2.spec.js","",""
"","3655","Test Valid Checkout","WebKit","Fri May 15 07:06:47 UTC 2026","passed","Fri May 15 07:06:50 UTC 2026","","testCaseId8.spec.js","",""
"","1498","Test Sorting 'Price (high to low)'","WebKit","Fri May 15 07:06:45 UTC 2026","passed","Fri May 15 07:06:47 UTC 2026","","testCaseId6.spec.js","",""
"","633","Test login with invalid login","Chromium","Fri May 15 07:05:54 UTC 2026","passed","Fri May 15 07:05:55 UTC 2026","","testCaseId3.spec.js","",""
"","4343","Test Saving the card after logout","WebKit","Fri May 15 07:06:35 UTC 2026","passed","Fri May 15 07:06:39 UTC 2026","","testCaseId5.spec.js","",""
"","1669","Test Sorting 'Name (Z to A)'","WebKit","Fri May 15 07:06:42 UTC 2026","passed","Fri May 15 07:06:44 UTC 2026","","testCaseId6.spec.js","",""
"","2023","Test Sorting  'Name (A to Z)'","Firefox","Fri May 15 07:06:13 UTC 2026","passed","Fri May 15 07:06:15 UTC 2026","","testCaseId6.spec.js","",""
"","8162","Test Valid Login","WebKit","Fri May 15 07:06:24 UTC 2026","passed","Fri May 15 07:06:32 UTC 2026","","testCaseId1.spec.js","",""
"","1480","Test login with invalid password","WebKit","Fri May 15 07:06:32 UTC 2026","passed","Fri May 15 07:06:33 UTC 2026","","testCaseId2.spec.js","",""
"","750","Test Sorting 'Price (high to low)'","Chromium","Fri May 15 07:05:59 UTC 2026","passed","Fri May 15 07:06:00 UTC 2026","","testCaseId6.spec.js","",""
"","629","Test Sorting 'Price (low to high)'","Chromium","Fri May 15 07:05:59 UTC 2026","passed","Fri May 15 07:05:59 UTC 2026","","testCaseId6.spec.js","",""
"","2386","Test Saving the card after logout","Chromium","Fri May 15 07:05:55 UTC 2026","passed","Fri May 15 07:05:57 UTC 2026","","testCaseId5.spec.js","",""
"","2912","Test Logout","Firefox","Fri May 15 07:06:10 UTC 2026","passed","Fri May 15 07:06:13 UTC 2026","","testCaseId4.spec.js","",""
"","7908","Test Footer Links","Firefox","Fri May 15 07:06:14 UTC 2026","passed","Fri May 15 07:06:22 UTC 2026","","testCaseId7.spec.js","",""
"","893","Test login with invalid login","Firefox","Fri May 15 07:06:09 UTC 2026","passed","Fri May 15 07:06:10 UTC 2026","","testCaseId3.spec.js","",""
"","1426","Test Sorting 'Price (low to high)'","Firefox","Fri May 15 07:06:16 UTC 2026","passed","Fri May 15 07:06:18 UTC 2026","","testCaseId6.spec.js","",""
"","1291","Test login with invalid login","WebKit","Fri May 15 07:06:33 UTC 2026","passed","Fri May 15 07:06:35 UTC 2026","","testCaseId3.spec.js","",""
"","1066","Test Sorting 'Price (high to low)'","Firefox","Fri May 15 07:06:18 UTC 2026","passed","Fri May 15 07:06:19 UTC 2026","","testCaseId6.spec.js","",""
"","4555","Test login with invalid password","Chromium","Fri May 15 07:05:50 UTC 2026","passed","Fri May 15 07:05:54 UTC 2026","","testCaseId2.spec.js","",""
"","2919","Test Checkout without products","WebKit","Fri May 15 07:06:55 UTC 2026","failed","Fri May 15 07:06:58 UTC 2026","","testCaseId9.spec.js","",""
"","1581","Test Sorting 'Price (low to high)'","WebKit","Fri May 15 07:06:44 UTC 2026","passed","Fri May 15 07:06:45 UTC 2026","","testCaseId6.spec.js","",""
"","1771","Test Checkout without products","Chromium","Fri May 15 07:06:06 UTC 2026","failed","Fri May 15 07:06:08 UTC 2026","","testCaseId9.spec.js","",""
"","1741","Test Valid Checkout","Chromium","Fri May 15 07:06:00 UTC 2026","passed","Fri May 15 07:06:02 UTC 2026","","testCaseId8.spec.js","",""
"","1615","Test Sorting 'Name (Z to A)'","Firefox","Fri May 15 07:06:15 UTC 2026","passed","Fri May 15 07:06:16 UTC 2026","","testCaseId6.spec.js","",""
"","8110","Test Footer Links","Chromium","Fri May 15 07:05:57 UTC 2026","passed","Fri May 15 07:06:06 UTC 2026","","testCaseId7.spec.js","",""
"","4283","Test Checkout without products","Firefox","Fri May 15 07:06:30 UTC 2026","failed","Fri May 15 07:06:34 UTC 2026","","testCaseId9.spec.js","",""
"","4663","Test Valid Login","Chromium","Fri May 15 07:05:50 UTC 2026","passed","Fri May 15 07:05:54 UTC 2026","","testCaseId1.spec.js","",""
"","9210","Test Footer Links","WebKit","Fri May 15 07:06:39 UTC 2026","passed","Fri May 15 07:06:48 UTC 2026","","testCaseId7.spec.js","",""
"","650","Test Sorting 'Name (Z to A)'","Chromium","Fri May 15 07:05:58 UTC 2026","passed","Fri May 15 07:05:59 UTC 2026","","testCaseId6.spec.js","",""
"","3013","Test Valid Checkout","Firefox","Fri May 15 07:06:19 UTC 2026","passed","Fri May 15 07:06:22 UTC 2026","","testCaseId8.spec.js","",""
"","1318","Test Sorting  'Name (A to Z)'","Chromium","Fri May 15 07:05:57 UTC 2026","passed","Fri May 15 07:05:58 UTC 2026","","testCaseId6.spec.js","",""
